name,address_si,address_gu,address_lo,address_detail,period_start,period_end,url,created_at
시크릿 오브 컬러 올림피아 자그놀리,정보 없음,정보 없음,정보 없음,일상비일상의틈 by LG U+,2023-07-04,2023-10-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009141,2023-08-17 15:19:56.616434
아트스토리Ⅰ 이태호 교수편 서울산수,서울,마포구,대흥로20길,28 마포아트센터 플레이맥,2023-09-07,2023-09-07,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010618,2023-08-17 15:19:56.705172
"아트스토리Ⅱ 이태호 교수편 서울의 명승, 명소",서울,마포구,대흥로20길,28 마포아트센터 플레이맥,2023-09-14,2023-09-14,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010619,2023-08-17 15:19:56.791021
아트스토리Ⅲ 탁현규 작가편 우리 풍속화의 아름다움,서울,마포구,대흥로20길,28 마포아트센터 플레이맥,2023-09-20,2023-09-20,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010550,2023-08-17 15:19:56.878809
안희선 가이드의 시간 여행 : 서울역사박물관 편,서울,종로구,새문안로,55 서울역사박물관,2023-02-13,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23001791,2023-08-17 15:19:56.968091
알폰스무하 이모션 인 서울,정보 없음,정보 없음,정보 없음,DDP 뮤지엄 전시1관,2023-07-22,2023-10-30,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009999,2023-08-17 15:19:57.047910
앤서니브라운의 원더랜드 뮤지엄,서울,강북구,월계로,173 꿈의숲_상상톡톡미술관,2023-07-13,2023-10-15,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=P0003510,2023-08-17 15:19:57.138734
에드워드 호퍼: 길 위에서,정보 없음,정보 없음,정보 없음,서울시립미술관 서소문본관 전 층,2023-04-20,2023-08-20,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23004076,2023-08-17 15:19:57.233239
"예술인의마을, 서촌",정보 없음,정보 없음,정보 없음,서촌 일대,2018-04-28,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18005878,2023-08-17 15:19:57.309875
온가족이 함께하는 우당탕탕 아빠가 만든 놀이터(시즌2),정보 없음,정보 없음,정보 없음,꿈의숲 아트센터 드림갤러리,2023-07-08,2023-08-27,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23007684,2023-08-17 15:19:57.393001
이영란의 감성체험 가루나무모래흙－서울,정보 없음,정보 없음,정보 없음,유니버설아트센터 루나홀,2021-01-01,2023-09-17,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=20011176,2023-08-17 15:19:57.474589
인사이드미 : 잃어버린 나의 감정을 찾아서,서울,성동구,아차산로,33 뚝섬미술관,2023-04-28,2025-03-01,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23005643,2023-08-17 15:19:57.571382
정동 한바퀴,정보 없음,정보 없음,정보 없음,덕수궁 돌담길,2018-07-07,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18009027,2023-08-17 15:19:57.673925
제22회 서울카페쇼 2023,정보 없음,정보 없음,정보 없음,코엑스 전관,2023-11-08,2023-11-11,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010910,2023-08-17 15:19:57.767532
진격의 거인전 FINAL in SEOUL,정보 없음,정보 없음,정보 없음,홍대 AK& 4층 네이처랩스,2023-07-15,2023-10-15,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009804,2023-08-17 15:19:57.852195
창경궁의 인문학산책(야간),서울,종로구,성균관로3길,23 창경궁,2019-01-04,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18018388,2023-08-17 15:19:57.933043
창덕궁의 인문학산책,서울,종로구,율곡로,102 창덕궁 돈화문,2018-07-02,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18008385,2023-08-17 15:19:58.022869
최정주 아트앤뮤직 큐레이션,정보 없음,정보 없음,정보 없음,JCC아트센터 콘서트홀,2023-09-14,2023-09-14,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009171,2023-08-17 15:19:58.310762
포스터덤프: 썸머 디깅 페스티벌,서울,성동구,아차산로17길,49 그라운드시소 성수,2023-08-01,2023-08-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23008299,2023-08-17 15:19:58.537989
피규어뮤지엄w 할인 티켓,서울,강남구,선릉로158길,3 피규어뮤지엄W,2021-04-27,2025-04-22,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=21003487,2023-08-17 15:19:58.620660
피카소와 20세기 거장들,서울,강남구,테헤란로,518 마이아트뮤지엄,2023-03-24,2023-08-27,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23004332,2023-08-17 15:19:58.709628
허풍선이 과학쇼 메이커스 체험전,정보 없음,정보 없음,정보 없음,GFX 상상놀이터,2023-05-30,2023-08-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23007645,2023-08-17 15:19:58.785815
헤더윅 스튜디오,서울,중구,통일로,1 문화역서울284,2023-06-29,2023-09-06,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23008836,2023-08-17 15:19:58.867846
후지시로 세이지 북촌스페이스,정보 없음,정보 없음,정보 없음,후지시로 세이지 북촌스페이스,2022-03-04,2023-08-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=22002108,2023-08-17 15:19:58.957494
ART ROAD SHOWCASE ＆ ART EXHIBITION in KOREA 2023 : 아트로드 - 아트원정대 붓 들고 세계로,정보 없음,정보 없음,정보 없음,썸머스타 1층 전시관,2023-07-26,2023-10-16,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009802,2023-08-17 15:19:59.038809
CAT ART : 고양이 미술사,서울,송파구,잠실로,209 MUSEUM 209,2023-07-06,2023-10-29,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009109,2023-08-17 15:19:59.117733
Let’s Play Art展,서울,서초구,남부순환로325길,9 예술의전당 한가람미술관 3층,2023-07-24,2023-09-10,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010066,2023-08-17 15:19:59.201113
